DATE,INDEX_NAME,OPEN,HIGH,LOW,CLOSE,TURNOVER,VOLUME,RAW_TIME
12-FEB-2026,NIFTY 50,25906.7,25906.7,25752.4,25807.2,38977.68,419388014,2026-02-11T18:30:00.000+00:00
11-FEB-2026,NIFTY 50,25997.45,26009.4,25899.8,25953.85,31456.05,331389240,2026-02-10T18:30:00.000+00:00
